instance,cp_opt_make,cp_opt_time,cp_opt_memory,cp_opt_status,hy_lim_make,hy_lim_tot_time,hy_lim_tot_memory,diff_hy_lim_cp_opt,ga_make,ga_time,ga_memory,hy_make,hy_tot_time,hy_tot_memory,diff_hy_cp_opt
../instances/ClassicBenchmark/jobshop_ft06,55,0.03857421875,69478,4,58,0.12833714485168457,92893,0.05454545454545454,67,0.047522783279418945,68007,0,0,0,-1.0
../instances/ClassicBenchmark/jobshop_abz6,943,0.32979679107666016,153558,4,987,0.5478100776672363,186339,0.04665959703075292,1190,0.6232442855834961,115802,980,0.627638578414917,156770,0.03923647932131495
../instances/ClassicBenchmark/jobshop_ft20,1165,2.7092020511627197,106443,4,1501,2.907562017440796,142697,0.28841201716738196,1557,2.8626725673675537,114792,1175,2.0125133991241455,140408,0.008583690987124463
../instances/ClassicBenchmark/jobshop_la01,666,0.1403040885925293,51422,4,695,0.1534566879272461,83577,0.04354354354354354,783,0.19137310981750488,71940,673,0.27465105056762695,83849,0.010510510510510511
../instances/ClassicBenchmark/jobshop_la02,655,0.29032421112060547,-31018,4,806,0.4518887996673584,-270409,0.23053435114503817,819,0.33671045303344727,68692,693,0.2262270450592041,83377,0.05801526717557252
../instances/ClassicBenchmark/jobshop_la03,597,0.15003442764282227,-30798,4,696,0.18984436988830566,76957,0.1658291457286432,741,0.21709322929382324,68476,652,0.2081606388092041,85911,0.09212730318257957
../instances/ClassicBenchmark/jobshop_la04,590,0.23095440864562988,51586,4,747,0.45444393157958984,-283330,0.26610169491525426,769,0.2488858699798584,-3176,598,0.27789926528930664,82577,0.013559322033898305
../instances/ClassicBenchmark/jobshop_la05,593,0.14619159698486328,54792,4,593,0.20768237113952637,82745,0.0,624,0.24895858764648438,71984,0,0,0,-1.0
../instances/ClassicBenchmark/jobshop_la06,926,0.18211627006530762,74495,4,926,0.2931230068206787,101670,0.0,1105,0.2418959140777588,91560,926,0.1764528751373291,-19186,0.0
../instances/ClassicBenchmark/jobshop_la07,890,0.2104182243347168,74467,4,970,0.23369193077087402,115802,0.0898876404494382,1039,0.28951430320739746,94260,895,0.4061150550842285,113418,0.0056179775280898875
../instances/ClassicBenchmark/jobshop_la08,863,0.24125981330871582,74691,4,911,0.373854398727417,103798,0.055619930475086905,1076,0.3220067024230957,91857,905,1.6979899406433105,122306,0.04866743916570104
../instances/ClassicBenchmark/jobshop_la09,951,0.21230602264404297,-36341,4,1004,0.2514503002166748,112882,0.05573080967402734,1111,0.40798211097717285,94204,958,0.4378077983856201,113474,0.007360672975814932
../instances/ClassicBenchmark/jobshop_ft10,930,7.293358564376831,123707,4,1108,7.475930690765381,155854,0.1913978494623656,1226,7.425175189971924,115963,938,5.2225422859191895,137482,0.008602150537634409
../instances/ClassicBenchmark/jobshop_la10,958,0.22776389122009277,74831,4,966,0.2910592555999756,116486,0.008350730688935281,1045,0.44130849838256836,94588,958,0.13210821151733398,74898,0.0
../instances/ClassicBenchmark/jobshop_la11,1222,0.36905550956726074,106920,4,1268,0.41823554039001465,155546,0.03764320785597381,1438,0.3961911201477051,-22808,1222,0.2808091640472412,106574,0.0
../instances/ClassicBenchmark/jobshop_la12,1039,0.3576507568359375,106087,4,1105,0.5328032970428467,136650,0.06352261790182868,1189,0.5759518146514893,112856,1039,0.4680166244506836,151546,0.0
../instances/ClassicBenchmark/jobshop_la13,1150,0.2640550136566162,106227,4,1152,0.35445094108581543,136794,0.0017391304347826088,1381,0.4105956554412842,113496,1150,0.2509887218475342,106294,0.0
../instances/ClassicBenchmark/jobshop_la14,1292,0.3486607074737549,-420359,4,1292,0.4460444450378418,140878,0.0,1367,0.38158631324768066,113508,1292,0.11263179779052734,106630,0.0
../instances/ClassicBenchmark/jobshop_abz5,1234,8.815752983093262,154202,4,1359,8.876734972000122,192395,0.1012965964343598,1372,8.981799840927124,116019,1234,6.358660459518433,141042,0.0
../instances/ClassicBenchmark/jobshop_la15,1207,0.5178489685058594,108073,4,1313,0.7179391384124756,137125,0.08782104391052195,1548,0.7235801219940186,113500,1216,0.7058529853820801,170132,0.007456503728251864
../instances/ClassicBenchmark/jobshop_la17,784,0.4219794273376465,106706,4,831,0.6562514305114746,133949,0.05994897959183673,1041,0.5419185161590576,114996,806,0.6873340606689453,154481,0.02806122448979592
../instances/ClassicBenchmark/jobshop_la16,945,1.069509506225586,107790,4,1054,1.0798931121826172,136077,0.11534391534391535,1192,1.2687842845916748,114548,991,1.0022785663604736,156775,0.04867724867724868
../instances/ClassicBenchmark/jobshop_la18,848,0.5846049785614014,107014,4,957,0.7154314517974854,137169,0.12853773584905662,1185,0.602668046951294,115628,941,0.7231030464172363,153017,0.10966981132075472
../instances/ClassicBenchmark/jobshop_la20,902,1.8698644638061523,107434,4,964,1.94254732131958,134704,0.06873614190687362,1159,2.082611560821533,114604,902,1.508359670639038,134745,0.0
../instances/ClassicBenchmark/jobshop_la19,842,4.231166839599609,107182,4,1008,4.380951166152954,137789,0.19714964370546317,1042,4.518578767776489,-4420,846,3.1026086807250977,16001,0.004750593824228029
../instances/ClassicBenchmark/jobshop_la23,1032,0.5777425765991211,155111,4,1185,0.8161869049072266,215490,0.14825581395348839,1568,0.8308906555175781,162732,1074,1.0813453197479248,213330,0.040697674418604654
../instances/ClassicBenchmark/jobshop_la22,927,5.266630172729492,158352,4,1052,5.675553560256958,191643,0.1348435814455232,1341,5.476036071777344,158304,937,3.787794589996338,185318,0.010787486515641856
