instance,run_id,seed,cp_opt_make,cp_opt_time,cp_opt_memory,cp_opt_status,hy_lim_make,hy_lim_tot_time,hy_lim_tot_memory,diff_hy_lim_cp_opt,hy_col_make,hy_col_tot_time,hy_col_tot_memory,diff_hy_col_cp_opt,ga_make,ga_time,ga_memory,hy_make,hy_tot_time,hy_tot_memory,diff_hy_cp_opt
../instances/ClassicBenchmark/jobshop_ft06,0,3,55,0.0709083080291748,69541,4,60,0.10985565185546875,92941,0.09090909090909091,60,0.24147558212280273,83926,0.09090909090909091,65,0.12445425987243652,66560,0,0,0,-1.0
../instances/ClassicBenchmark/jobshop_abz6,0,3,943,0.5215356349945068,153565,4,980,0.7258388996124268,186443,0.03923647932131495,948,0.7055621147155762,199877,0.005302226935312832,1290,0.660283088684082,118040,971,0.6359262466430664,153477,0.029692470837751856
../instances/ClassicBenchmark/jobshop_ft20,0,3,1165,2.4123950004577637,106287,4,1477,2.559990882873535,143916,0.26781115879828327,1173,1.7984693050384521,306509,0.0068669527896995704,1560,2.6704556941986084,114540,1178,1.762192726135254,136522,0.011158798283261802
../instances/ClassicBenchmark/jobshop_la01,0,3,666,0.16379547119140625,51017,4,695,0.23877549171447754,80597,0.04354354354354354,inf,0,0,inf,825,0.1890265941619873,68636,0,0,0,-1.0
../instances/ClassicBenchmark/jobshop_la02,0,3,655,0.2770042419433594,51696,4,803,0.3798658847808838,78599,0.22595419847328244,696,0.31940293312072754,175972,0.06259541984732825,842,0.34656763076782227,70552,680,0.24933433532714844,83569,0.03816793893129771
../instances/ClassicBenchmark/jobshop_la03,0,3,597,0.1636049747467041,55139,4,696,0.28632593154907227,-235170,0.1658291457286432,663,0.25011587142944336,138172,0.11055276381909548,723,0.22269392013549805,71576,0,0,0,-1.0
../instances/ClassicBenchmark/jobshop_la04,0,3,590,0.2095479965209961,50849,4,702,0.2940809726715088,77525,0.18983050847457628,718,1.740030288696289,-237083,0.21694915254237288,766,0.3541898727416992,71768,667,0.34418153762817383,12333,0.13050847457627118
../instances/ClassicBenchmark/jobshop_la05,0,3,593,0.12797951698303223,51681,4,593,0.18389630317687988,85185,0.0,inf,0,0,inf,646,0.25472211837768555,70844,593,0.11831784248352051,50849,0.0
../instances/ClassicBenchmark/jobshop_la06,0,3,926,0.1603391170501709,74562,4,926,0.23117637634277344,104374,0.0,926,0.18067479133605957,837,0.0,1089,0.21154093742370605,90932,926,0.1943373680114746,74562,0.0
../instances/ClassicBenchmark/jobshop_la07,0,3,890,0.27588987350463867,74534,4,968,0.3014099597930908,113466,0.08764044943820225,917,0.5705726146697998,172905,0.030337078651685393,1089,0.5839953422546387,93828,890,0.23285341262817383,80026,0.0
../instances/ClassicBenchmark/jobshop_abz5,0,3,1234,6.979814291000366,154293,4,1354,7.033409833908081,191183,0.09724473257698542,1234,5.054257154464722,1038387,0.0,1464,7.21903395652771,-66707,1234,4.95539116859436,147517,0.0
../instances/ClassicBenchmark/jobshop_la08,0,3,863,0.1775040626525879,74758,4,909,0.22461223602294922,115970,0.05330243337195829,942,1.3116395473480225,135241,0.09154113557358054,1029,0.32861971855163574,94372,909,1.3389792442321777,113858,0.05330243337195829
../instances/ClassicBenchmark/jobshop_la09,0,3,951,0.2064211368560791,74618,4,971,0.3266022205352783,102573,0.02103049421661409,951,0.19527864456176758,189142,0.0,1118,0.26296472549438477,91616,951,0.30536913871765137,74618,0.0
